loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,43.0,105694,1.1653742790222168,93.1828,10.174,1.277,,,,,
1.1281,0.4720657169818878,0.0005600000000000001,44.0,108152,,,,,,,,,
,,,44.0,108152,1.1636686325073242,92.7725,10.219,1.283,,,,,
1.1244,0.6235180497169495,0.00055,45.0,110610,,,,,,,,,
,,,45.0,110610,1.1630918979644775,93.3375,10.157,1.275,,,,,
1.1219,0.5408631563186646,0.00054,46.0,113068,,,,,,,,,
,,,46.0,113068,1.1603925228118896,91.4782,10.363,1.301,,,,,
1.1187,0.3477382957935333,0.0005300000000000001,47.0,115526,,,,,,,,,
,,,47.0,115526,1.1580336093902588,91.3245,10.381,1.303,,,,,
1.115,0.30639392137527466,0.0005200000000000001,48.0,117984,,,,,,,,,
,,,48.0,117984,1.1613303422927856,91.7924,10.328,1.296,,,,,
1.113,0.4496906101703644,0.00051,49.0,120442,,,,,,,,,
,,,49.0,120442,1.1566179990768433,92.937,10.2,1.28,,,,,
1.109,0.8146370649337769,0.0005,50.0,122900,,,,,,,,,
,,,50.0,122900,1.158463954925537,92.153,10.287,1.291,,,,,
1.1066,0.4593031108379364,0.00049,51.0,125358,,,,,,,,,
,,,51.0,125358,1.1557304859161377,93.0363,10.19,1.279,,,,,
1.1037,0.41953685879707336,0.00048,52.0,127816,,,,,,,,,
,,,52.0,127816,1.1545950174331665,93.0977,10.183,1.278,,,,,
1.101,0.3605552315711975,0.00047,53.0,130274,,,,,,,,,
,,,53.0,130274,1.1557395458221436,92.7726,10.219,1.283,,,,,
1.0991,0.4885104298591614,0.00046,54.0,132732,,,,,,,,,
,,,54.0,132732,1.154425024986267,93.0901,10.184,1.278,,,,,
1.0953,0.4835454225540161,0.00045000000000000004,55.0,135190,,,,,,,,,
,,,55.0,135190,1.1523135900497437,94.8724,9.992,1.254,,,,,
1.0916,0.19668254256248474,0.00044,56.0,137648,,,,,,,,,
,,,56.0,137648,1.1494101285934448,93.6457,10.123,1.271,,,,,
1.0895,0.33631736040115356,0.00043,57.0,140106,,,,,,,,,
,,,57.0,140106,1.1499733924865723,93.4633,10.143,1.273,,,,,
1.0857,0.35299625992774963,0.00042,58.0,142564,,,,,,,,,
,,,58.0,142564,1.1517088413238525,94.7194,10.009,1.256,,,,,
1.0845,0.5512391924858093,0.00041,59.0,145022,,,,,,,,,
,,,59.0,145022,1.148951768875122,95.3481,9.943,1.248,,,,,
1.081,0.46514132618904114,0.0004,60.0,147480,,,,,,,,,
,,,60.0,147480,1.147189974784851,93.8818,10.098,1.268,,,,,
1.0791,0.5281753540039062,0.00039000000000000005,61.0,149938,,,,,,,,,
,,,61.0,149938,1.1485928297042847,93.4736,10.142,1.273,,,,,
1.0771,0.24816644191741943,0.00038,62.0,152396,,,,,,,,,
,,,62.0,152396,1.14613676071167,93.9615,10.089,1.266,,,,,
1.0741,0.3753894567489624,0.00037,63.0,154854,,,,,,,,,
,,,63.0,154854,1.145745038986206,94.7555,10.005,1.256,,,,,
1.071,0.6317579746246338,0.00035999999999999997,64.0,157312,,,,,,,,,
,,,64.0,157312,1.1422955989837646,94.0268,10.082,1.266,,,,,
1.0699,0.2242235392332077,0.00035,65.0,159770,,,,,,,,,
,,,65.0,159770,1.144129991531372,92.6936,10.227,1.284,,,,,
1.0661,0.3173053562641144,0.00034,66.0,162228,,,,,,,,,
,,,66.0,162228,1.1421217918395996,91.627,10.346,1.299,,,,,
1.0646,0.4427517056465149,0.00033,67.0,164686,,,,,,,,,
,,,67.0,164686,1.1399743556976318,92.3522,10.265,1.289,,,,,
1.0614,0.5167297720909119,0.00032,68.0,167144,,,,,,,,,
,,,68.0,167144,1.1404839754104614,94.071,10.077,1.265,,,,,
1.0589,0.3667808175086975,0.00031,69.0,169602,,,,,,,,,
,,,69.0,169602,1.1415053606033325,90.8016,10.44,1.311,,,,,
1.0573,0.21228133141994476,0.0003,70.0,172060,,,,,,,,,
,,,70.0,172060,1.1429495811462402,89.171,10.631,1.335,,,,,
1.0558,0.5492684245109558,0.00029,71.0,174518,,,,,,,,,
,,,71.0,174518,1.1384915113449097,92.7465,10.221,1.283,,,,,
1.0524,0.37798938155174255,0.00028000000000000003,72.0,176976,,,,,,,,,
,,,72.0,176976,1.1371084451675415,90.8963,10.429,1.309,,,,,
1.0506,0.5406757593154907,0.00027,73.0,179434,,,,,,,,,
,,,73.0,179434,1.1411426067352295,90.3518,10.492,1.317,,,,,
1.048,0.5809676647186279,0.00026000000000000003,74.0,181892,,,,,,,,,
,,,74.0,181892,1.1381452083587646,91.239,10.39,1.304,,,,,
1.046,0.5946980714797974,0.00025,75.0,184350,,,,,,,,,
,,,75.0,184350,1.1350836753845215,99.1551,9.561,1.2,,,,,
1.0424,0.5844601988792419,0.00024,76.0,186808,,,,,,,,,
,,,76.0,186808,1.1358119249343872,100.3111,9.451,1.186,,,,,
1.0411,0.21210286021232605,0.00023,77.0,189266,,,,,,,,,
,,,77.0,189266,1.1332213878631592,106.2577,8.922,1.12,,,,,
1.0386,0.3284243643283844,0.00022,78.0,191724,,,,,,,,,
,,,78.0,191724,1.1339831352233887,106.5238,8.899,1.117,,,,,
1.0378,0.5216599702835083,0.00021,79.0,194182,,,,,,,,,
,,,79.0,194182,1.1338258981704712,84.9769,11.156,1.4,,,,,
1.0351,0.3843989968299866,0.0002,80.0,196640,,,,,,,,,
,,,80.0,196640,1.1331603527069092,98.7631,9.599,1.205,,,,,
1.0328,0.510603666305542,0.00019,81.0,199098,,,,,,,,,
,,,81.0,199098,1.1338423490524292,3056.9614,0.31,0.039,,,,,
1.0305,0.6447964906692505,0.00017999999999999998,82.0,201556,,,,,,,,,
,,,82.0,201556,1.1312469244003296,83.1042,11.407,1.432,,,,,
1.0291,0.22017942368984222,0.00017,83.0,204014,,,,,,,,,
,,,83.0,204014,1.130570650100708,89.2251,10.625,1.334,,,,,
1.0272,0.39193737506866455,0.00016,84.0,206472,,,,,,,,,
,,,84.0,206472,1.1323069334030151,624.5863,1.518,0.191,,,,,
1.0264,0.7073673009872437,0.00015,85.0,208930,,,,,,,,,
,,,85.0,208930,1.1312706470489502,84.2735,11.249,1.412,,,,,
1.0238,0.822774350643158,0.00014000000000000001,86.0,211388,,,,,,,,,
,,,86.0,211388,1.1310020685195923,90.787,10.442,1.311,,,,,
1.0231,0.30989015102386475,0.00013000000000000002,87.0,213846,,,,,,,,,
,,,87.0,213846,1.1298861503601074,91.1624,10.399,1.305,,,,,
1.0214,0.42758503556251526,0.00012,88.0,216304,,,,,,,,,
,,,88.0,216304,1.1289080381393433,91.4293,10.369,1.302,,,,,
1.0184,0.41336584091186523,0.00011,89.0,218762,,,,,,,,,
,,,89.0,218762,1.1281660795211792,97.63,9.71,1.219,,,,,
1.0182,0.14818380773067474,0.0001,90.0,221220,,,,,,,,,
,,,90.0,221220,1.1289608478546143,94.8492,9.995,1.255,,,,,
1.0161,0.5795279741287231,8.999999999999999e-05,91.0,223678,,,,,,,,,
,,,91.0,223678,1.1274765729904175,90.267,10.502,1.318,,,,,
1.0145,0.4304383099079132,8e-05,92.0,226136,,,,,,,,,
,,,92.0,226136,1.1275967359542847,89.5505,10.586,1.329,,,,,
1.0133,0.8096610307693481,7.000000000000001e-05,93.0,228594,,,,,,,,,
,,,93.0,228594,1.1273521184921265,89.9422,10.54,1.323,,,,,
